filename,timestamp,value,label
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:36:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:37:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:38:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:39:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:40:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:41:00+0800,4,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:42:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:43:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:44:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:45:00+0800,8,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:46:00+0800,32,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:47:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:48:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:49:00+0800,4,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:50:00+0800,8,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:51:00+0800,112,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:52:00+0800,304,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:53:00+0800,216,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:54:00+0800,112,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:55:00+0800,596,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:56:00+0800,116,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:57:00+0800,248,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:58:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T08:59:00+0800,8,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:00:00+0800,136,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:01:00+0800,300,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:02:00+0800,180,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:03:00+0800,160,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:04:00+0800,24,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:05:00+0800,600,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:06:00+0800,44,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:07:00+0800,0,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:08:00+0800,44,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:09:00+0800,124,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:10:00+0800,452,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:11:00+0800,1732,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:12:00+0800,100,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:13:00+0800,76,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:14:00+0800,412,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:15:00+0800,256,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:16:00+0800,248,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:17:00+0800,124,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:18:00+0800,72,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:19:00+0800,52,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:20:00+0800,284,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:21:00+0800,112,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:22:00+0800,432,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:23:00+0800,32,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:24:00+0800,148,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:25:00+0800,280,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:26:00+0800,1068,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:27:00+0800,620,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:28:00+0800,56,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:29:00+0800,168,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:30:00+0800,120,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:31:00+0800,36,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:32:00+0800,4,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:33:00+0800,40,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:34:00+0800,32,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:35:00+0800,148,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:36:00+0800,524,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:37:00+0800,492,0
ts_b82383d51c25055ca53395c7e21d022a.csv,2020-02-08T09:38:00+0800,0,0
